csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,std,1.7440374613713625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,min,-65.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,25%,-64.125
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,50%,-62.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,75%,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661866,max,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,count,4.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,mean,-65.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,std,2.462214450449026
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,min,-68.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,25%,-67.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,50%,-65.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,75%,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251876,max,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,count,5.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,mean,-64.7
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,std,0.570087712549569
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,min,-65.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,25%,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,50%,-64.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,75%,-64.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010249018591604251877,max,-64.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,count,8.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,mean,-60.4375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,std,2.933032316806034
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,min,-67.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,25%,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,50%,-59.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,75%,-59.375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381889,max,-58.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,count,2.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,mean,-64.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,std,0.7071067811865476
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,min,-64.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,25%,-64.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,50%,-64.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,75%,-63.75
