csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,max,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,count,3.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,mean,-67.16666666666667
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,std,1.4433756729740645
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,min,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,25%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,50%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,75%,-66.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263250,max,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,mean,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,std,0.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,min,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,25%,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,50%,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,75%,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506681263251,max,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,count,6.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,mean,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,std,2.2135943621178655
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,min,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,25%,-67.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,50%,-65.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,75%,-65.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943252,max,-61.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,count,33.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,mean,-61.86363636363637
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,std,1.626310660248024
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,min,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,25%,-63.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,50%,-61.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,75%,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249027506682943253,max,-60.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,count,11.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,mean,-62.81818181818182
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,std,1.031327476428493
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,min,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,25%,-63.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,50%,-62.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,75%,-62.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010449015513669103279,max,-61.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,mean,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,std,2.1213203435596424
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,min,-65.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,25%,-64.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,50%,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,75%,-62.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x108030249016740038843524,max,-62.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,count,14.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,mean,-63.535714285714285
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,std,1.51231210802794
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,min,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,25%,-65.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,50%,-63.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,75%,-62.625
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040145478947023213631,max,-61.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040149021246181603636,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040149021246181603636,mean,-69.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040149021246181603636,std,0.3535533905932738
20180125133948418-9784062938204_3095-3264-3435.csv,0x108040149021246181603636,min,-69.5
